source,target,weight
1009268,1009367,13
1009268,1009407,4
1009268,1009708,2
1009268,1011336,1
1009268,1009504,0
1009268,1009310,6
1009268,1010360,1
1009268,1009318,0
1009268,1009215,8
1009268,1009524,8
1009268,1010370,0
1009268,1010892,0
1009268,1009337,1
1009268,1009182,8
1009268,1011299,2
1009268,1011010,0
1009268,1009466,0
1009268,1009508,6
1009268,1011490,1
1009268,1009343,0
1009268,1009219,8
1009268,1009719,1
1009268,1009554,22
1009268,1009452,4
1009268,1011109,0
1009268,1009277,41
1009268,1009372,0
1009268,1009499,1
1009268,1009609,0
1009268,1010771,0
1009268,1009652,5
1009268,1009389,4
1009268,1009224,1
1009268,1010894,0
1009268,1009288,2
1009268,1009365,5
1009268,1009381,1
1009268,1009267,4
1009268,1011023,0
1009268,1016181,0
1009268,1009608,2
1009268,1009480,1
1009268,1009705,25
1009268,1010738,1
1009268,1009477,0
1009268,1009379,0
1009268,1009312,3
1009268,1009722,8
1009268,1009327,3
1009268,1009577,0
1009268,1009297,0
1009268,1009382,10
1009268,1010373,12
1009268,1009325,1
1009268,1009638,5
1009268,1010354,1
1009282,1009610,120
1009282,1009726,21
1009282,1009368,108
1009282,1009220,77
1009282,1009718,69
1009282,1009165,56
1009282,1009664,63
1009282,1009351,85
1009282,1009299,34
1009282,1009262,52
1009282,1009356,32
1009282,1009662,48
1009282,1009257,16
1009282,1009268,5
1009282,1009629,12
1009282,1009366,31
1009282,1009515,40
1009282,1009175,29
1009282,1009187,33
1009282,1009243,11
1009282,1010791,32
1009282,1009459,52
1009282,1009546,3
1009282,1009592,53
